Date,Confirmed cases,Active cases,Recovered cases,Deaths,Tested
01-Feb,2,2,0,0,0
01-Mar,5,2,3,0,0
01-Apr,2059,1829,169,69,51151
01-May,37263,26007,10021,1231,976363
01-Jun,198372,97009,95744,5606,3966075
01-Jul,605221,227401,359905,17848,9056173
01-Aug,1752171,567417,1146917,37410,19821831
01-Sep,3766108,799530,2899528,66462,44337201
01-Oct,6392049,9425887,5348746,99807,76717728
01-Nov,8229322,562329,7542905,122642,110743103
01-Dec,9499728,427528,8931803,138160,142445952
01-Jan,10306469,247427,9905570,149255,174899783
